NumReaders, AvgReadTime, NumReads, NumWriters, AvgWriteTime, NumWrites, MaxWriteTime
5, 570.35504, 7328403, 5, 1010.4859, 4517447, 17964970
10, 942.1975, 9398179, 10, 2296.4133, 4165427, 28535515
15, 1401.8041, 10033249, 15, 3424.3252, 4268438, 51341092
20, 1627.2042, 11297531, 20, 4973.464, 3917326, 35134111
25, 2189.344, 10613332, 25, 6454.721, 3795608, 37874488
30, 2514.8264, 11475300, 30, 7406.2827, 4015739, 43083984
35, 3919.5564, 8648087, 35, 8233.604, 4190159, 86303616
40, 3596.8079, 10599387, 40, 9936.934, 3907727, 108728565
45, 3855.2195, 11113154, 45, 11582.793, 3823570, 80739124
50, 3715.309, 12736214, 50, 14336.818, 3423852, 77444743
55, 4593.8174, 11628731, 55, 14482.012, 3766032, 54940495
60, 5692.7334, 10202143, 60, 14864.897, 3974457, 55448030
65, 3435.674, 17791965, 65, 20517.504, 2967892, 87956181
70, 6108.307, 10989663, 70, 17203.709, 3953427, 64570918
75, 8022.899, 9093827, 75, 17859.025, 4139872, 136181779
80, 7568.2617, 10157971, 80, 20256.744, 3855998, 89184645
85, 7918.2354, 10498691, 85, 21392.812, 3937909, 84542200
90, 8413.388, 10523333, 90, 21652.646, 4129037, 83722806
95, 175.87631, 39282573, 95, NaN, 0, 0
100, 8925.923, 10813756, 100, 24515.768, 3971818, 80340345
105, 10353.054, 9955646, 105, 27848.805, 3739997, 158917034
110, 11058.843, 9512579, 110, 26180.904, 4028201, 148107388
115, 10039.766, 11193026, 115, 28933.312, 3920430, 152267871
120, 146.04137, 25961659, 120, 21214.852, 5632144, 32412627
125, 152.6259, 36013198, 125, 22384.148, 2581851, 29997823
130, 12035.669, 10615226, 130, 32678.232, 3944201, 83218097
135, 12437.509, 10685768, 135, 34849.07, 3851561, 110070790
140, 11705.867, 11720129, 140, 38310.777, 3632768, 93992152
145, 13391.069, 10619518, 145, 37179.79, 3858043, 119851276
150, 14329.887, 10319650, 150, 35787.492, 4157662, 118801310
155, 12121.305, 12499526, 155, 41424.6, 3685608, 99810321
160, 13651.652, 11363600, 160, 42671.934, 3694959, 100159305
165, 11813.982, 13828867, 165, 49001.51, 3373092, 139765307
170, 16155.906, 10125186, 170, 41821.68, 3931603, 131152472
175, 12257.961, 14015994, 175, 50754.465, 3428489, 137075315
180, 16048.3125, 10982390, 180, 46063.777, 3846786, 108747052
185, 17612.514, 10366771, 185, 47217.723, 3895933, 123296017
190, 16285.6, 11244815, 190, 48598.92, 3778777, 121397053
195, 16939.324, 11366888, 195, 51760.926, 3742045, 122154689
200, 17506.756, 10939545, 200, 50677.156, 3796615, 124944009
205, 15028.372, 13269502, 205, 62914.355, 3211412, 146229727
210, 13978.874, 14629874, 210, 62347.715, 3307982, 174372124
215, 170.07198, 40902132, 215, 38856.55, 5422426, 32055837
220, 18587.848, 11584617, 220, 56382.555, 3832714, 135657037
225, 18380.943, 12004338, 225, 60212.477, 3682568, 173905710
230, 22233.297, 10080336, 230, 56783.785, 3964511, 160999298
235, 17052.322, 12622589, 235, 58836.547, 3815218, 167047094
240, 15407.315, 15275693, 240, 73796.66, 3225859, 206681102
245, 17418.371, 13848179, 245, 69976.22, 3477791, 150636247
250, 19878.404, 11504248, 250, 59779.055, 3907484, 180547958
255, 23221.76, 10855373, 255, 64597.36, 3913977, 203081078
260, 10365.156, 23246149, 260, 128709.7, 1939567, 294021498
265, 23620.414, 11062088, 265, 68734.766, 3819425, 173918808
270, 155.08386, 32349974, 270, 48613.395, 5522250, 36896550
275, 11162.974, 23491955, 275, 151177.39, 1667595, 316177984
280, 18254.762, 13636968, 280, 73533.195, 3387781, 163657070
285, 166.3251, 32540340, 285, 50507.7, 5605305, 38658363
290, 18621.611, 15089953, 290, 98039.41, 2849707, 297961966
295, 27361.945, 10565405, 295, 70959.234, 4084944, 130954291
300, 25103.84, 11532657, 300, 76179.06, 3818171, 176306892
305, 10972.943, 22072997, 305, 133189.16, 1731700, 564052837
310, 10705.584, 17182050, 310, 78934.625, 2280111, 145200493
315, 166.77281, 26493981, 315, NaN, 0, 0
320, 26366.572, 11995477, 320, 83613.09, 3796280, 190268296
325, 176.61078, 31361485, 325, 59201.17, 5426602, 40120637
330, 5142.594, 21465773, 330, 66129.54, 2806108, 146848386
335, 31631.756, 10262062, 335, 84128.375, 3881780, 220471700
340, 14344.696, 22652874, 340, 223476.75, 1501119, 546238407
345, 7778.0435, 24481010, 345, 85762.15, 2171066, 167037021
350, 156.39966, 26478568, 350, NaN, 0, 0
355, 22307.123, 15524942, 355, 106880.89, 3268296, 281053639
360, 31753.898, 11026998, 360, 94652.44, 3704915, 233091530
365, 39344.773, 9143601, 365, 83781.805, 4307038, 181391814
370, 30447.197, 11597394, 370, 101193.164, 3499500, 204194745
375, 35286.066, 10335426, 375, 90724.27, 4028725, 304885430
380, 153.00343, 27974044, 380, NaN, 0, 0
