NumReaders, AvgReadTime, NumReads, NumWriters, AvgWriteTime, NumWrites, MaxWriteTime
1, 57, 6433439, 1, 103, 4940970, 9741161
2, 59, 9875896, 2, 236, 5166531, 14809958
3, 99, 10434742, 3, 455, 4972223, 30044842
4, 118, 10233504, 4, 599, 5311950, 27897880
5, 166, 9469992, 5, 869, 4750697, 49394758
6, 209, 8349601, 6, 1019, 5002229, 46546023
7, 209, 9931702, 7, 1152, 5254962, 54286411
8, 213, 10276294, 8, 1690, 4247901, 127166077
9, 247, 10474673, 9, 1697, 4342654, 87663021
10, 273, 9970781, 10, 2236, 3979027, 116031428
