NumReaders, AvgReadTime, NumReads, NumWriters, AvgWriteTime, NumWrites, MaxWriteTime
1, 11590286, 115.94541, 1, 13041414, 97.17798, 1337699
2, 8471214, 399.88437, 2, 7719305, 440.85977, 12024490
3, 10134177, 510.82532, 3, 11474666, 446.1786, 21369516
4, 12240035, 580.72375, 4, 11170730, 650.0899, 25227312
5, 12012056, 769.13995, 5, 12444663, 741.0587, 29330155
6, 12274732, 892.9703, 6, 10986360, 1011.9388, 25411957
7, 10470475, 1250.4269, 7, 11684650, 1113.5417, 22887232
8, 11672064, 1281.8483, 8, 10417669, 1451.8342, 52097862
9, 11356007, 1497.645, 9, 10797091, 1583.3098, 26098587
10, 11761096, 1620.69, 10, 11376459, 1679.4269, 34323031
11, 10802884, 1941.8756, 11, 10672662, 1974.3428, 51876124
12, 11272059, 2044.6124, 12, 11790659, 1964.6863, 43709114
13, 10971204, 2284.368, 13, 11528552, 2174.5266, 39308810
14, 10416554, 2595.0828, 14, 10493410, 2574.1594, 56444870
15, 10697934, 2711.135, 15, 9653806, 3014.9475, 41950572
16, 9327388, 3336.5593, 16, 11826629, 2644.5503, 42230359
17, 11051689, 2995.4692, 17, 9885092, 3355.4502, 60645537
18, 10820446, 3260.1313, 18, 10212231, 3451.7354, 56637140
19, 11297055, 3287.7395, 19, 10055759, 3705.8438, 54720970
20, 9336518, 4198.696, 20, 8496086, 4624.409, 108991482
