Readers, AvgReadTime, Writers, AvgWriteTime
1, 172311.0, 1, 317472.0
1, 29516.0, 1, 145489.0
1, 23306.0, 1, 33875.0
1, 20986.0, 1, 41851.0
1, 762.0, 1, 24489.0
2, 746.5, 2, 1239.0
2, 1364.5, 2, 2119.0
2, 794.5, 2, 1251.0
3, 631.3333, 3, 1179.6666
3, 656.0, 3, 1103.6666
4, 615.0, 4, 1086.25
4, 680.0, 4, 1240.0
5, 527.0, 5, 1196.6
6, 1454.8334, 6, 1208.1666
6, 1104.8334, 6, 1462.6666
8, 877.625, 8, 1403.0
9, 1214.1111, 9, 2260.6667
10, 747.4, 10, 1493.5
12, 901.5, 12, 1247.5834
13, 902.1539, 13, 1383.3846
16, 899.1875, 16, 1050.25
18, 1048.8334, 18, 1311.0555
21, 732.4762, 21, 1003.4286
24, 906.375, 24, 1273.8334
27, 1428.4445, 27, 1679.8148
32, 1733.0938, 32, 1066.0938
36, 2410.5278, 36, 1442.4166
42, 998.8333, 42, 1146.4762
48, 891.6875, 48, 693.4792
55, 349.5091, 55, 413.83636
64, 411.98438, 64, 486.8125
73, 330.80823, 73, 384.8493
84, 462.9762, 84, 391.7381
97, 436.31958, 97, 522.36084
111, 362.65765, 111, 1823.072
128, 303.85938, 128, 340.28906
147, 54854.53, 147, 344.92517
168, 328.01785, 168, 393.0119
194, 283.24744, 194, 262.09793
222, 222.28828, 222, 321.88287
256, 233.29297, 256, 288.10156
294, 242.40816, 294, 390.85373
337, 314.4451, 337, 627.9555
388, 250.2629, 388, 296.34537
445, 262.82922, 445, 301.01572
512, 204.4414, 512, 273.2422
588, 268.68707, 588, 317.95407
675, 226.22815, 675, 7582.9956
776, 22218.67, 776, 25010.459
891, 95.6633, 891, 132.6083
1024, 90.95703, 1024, 125.021484
1176, 95.35034, 1176, 156.9762
1351, 89.0866, 1351, 134.3701
1552, 92.34794, 1552, 888.07214
1782, 92.98373, 1782, 132.40236
2048, 189.72266, 2048, 7784.6436
2352, 95.35714, 2352, 136.34651
2702, 287.79312, 2702, 332.37305
3104, 1097.7687, 3104, 4928.237
3565, 94.58906, 3565, 130.29762
4096, 1765.3865, 4096, 19382.568
4705, 579.7545, 4705, 170.30733
5404, 4740.701, 5404, 12639.885
6208, 105.57442, 6208, 14837.142
7131, 17692.88, 7131, 44035.312
8192, 32779.95, 8192, 41130.527
9410, 3745.044, 9410, 14043.793
10809, 157.8455, 10809, 1912.3462
12416, 11315.864, 12416, 41460.9
14263, 2116.408, 14263, 1877.027
16384, 667.872, 16384, 6524.487
18820, 56232.188, 18820, 43799.508
21618, 2372.116, 21618, 6110.8823
24833, 2949.2, 24833, 10248.716
28526, 71108.11, 28526, 98544.55
32768, 91.15839, 32768, 546.69727
37640, 13310.871, 37640, 905.5657
43237, 3406.414, 43237, 19574.1
49667, 3494.1724, 49667, 4366.6523
57052, 6722.3276, 57052, 7270.6675
