Readers, AvgReadTime, Writers, AvgWriteTime
1, 99229.0, 1, 108597.0
1, 16980.0, 1, 50580.0
1, 2522.0, 1, 8396.0
1, 3313.0, 1, 5733.0
1, 1758.0, 1, 9715.0
2, 7947.0, 2, 6375.0
2, 1920.5, 2, 7112.5
2, 2625.0, 2, 4389.5
3, 4325.0, 3, 6000.0
3, 1780.0, 3, 7225.0
4, 4056.25, 4, 4553.0
4, 1477.75, 4, 4116.75
5, 3660.8, 5, 40679.8
6, 1608.8334, 6, 5537.5
6, 2642.5, 6, 3541.8333
8, 36070.375, 8, 52154.0
9, 2197.3333, 9, 5923.0
10, 1973.5, 10, 8027.4
12, 1674.4166, 12, 2924.3333
13, 19365.076, 13, 6255.231
16, 1372.1875, 16, 2048.125
18, 3540.111, 18, 30490.445
21, 1369.4286, 21, 1583.0952
24, 1050.2084, 24, 2011.6666
27, 1160.3334, 27, 1621.5555
32, 1015.4375, 32, 1349.4688
36, 1791.5, 36, 3333.639
42, 1480.8334, 42, 1544.3334
48, 552.7292, 48, 735.0625
55, 489.96362, 55, 619.2182
64, 402.53125, 64, 828.4375
73, 400.47946, 73, 522.0548
84, 451.08334, 84, 460.2976
97, 424.37112, 97, 522.3815
111, 1618.7207, 111, 718.0721
128, 7621.0234, 128, 542.14844
147, 12480.082, 147, 12316.599
168, 838.8214, 168, 1481.7678
194, 2934.5515, 194, 533.8196
222, 372.7117, 222, 530.36487
256, 334.4961, 256, 505.20312
294, 301.10886, 294, 483.81293
337, 355.55194, 337, 514.02673
388, 1414.3685, 388, 521.99225
445, 338.74832, 445, 504.69662
512, 277.88867, 512, 507.8125
588, 279.2755, 588, 462.04932
675, 342.4178, 675, 414.1052
776, 265.79123, 776, 464.42526
891, 122.41863, 891, 382.35242
1024, 108.208984, 1024, 252.7998
1176, 109.80867, 1176, 233.3818
1351, 109.2265, 1351, 214.50777
1552, 364.11792, 1552, 206.87952
1782, 98.28676, 1782, 219.72278
2048, 148.14014, 2048, 240.03467
2352, 106.68155, 2352, 214.0778
2702, 265.58365, 2702, 255.29237
3104, 23129.094, 3104, 51403.547
3565, 101.670685, 3565, 226.24348
4096, 3988.0286, 4096, 56400.727
4705, 1115.534, 4705, 1526.051
5404, 4010.829, 5404, 8253.049
6208, 3324.7783, 6208, 9695.702
7131, 6517.288, 7131, 8315.372
8192, 20514.467, 8192, 72332.47
9410, 8282.216, 9410, 5852.8623
10809, 2458.735, 10809, 22817.027
12416, 195.2102, 12416, 3025.4468
14263, 3456.7466, 14263, 10757.158
16384, 17713.428, 16384, 18714.244
18820, 61898.242, 18820, 62911.02
21618, 217.24077, 21618, 2209.6035
24833, 6294.3267, 24833, 5484.6284
28526, 47584.984, 28526, 102750.625
32768, 2638.2014, 32768, 7433.1743
37640, 15557.56, 37640, 17280.008
43237, 37758.992, 43237, 18816.254
49667, 49234.17, 49667, 145650.1
57052, 7452.907, 57052, 1932.0845
