Readers, AvgReadTime, Writers, AvgWriteTime
1, 27384.0, 1, 61984.0
1, 30144.0, 1, 7222.0
1, 1251.0, 1, 2725.0
1, 1481.0, 1, 2595.0
1, 1616.0, 1, 2568.0
2, 1202.0, 2, 2101.5
2, 1043.5, 2, 1991.5
2, 2390.5, 2, 5425.5
3, 1239.0, 3, 2529.6667
3, 1956.6666, 3, 3057.0
4, 18288.75, 4, 3543.0
4, 1864.0, 4, 3034.5
5, 1258.0, 5, 2122.8
6, 2289.5, 6, 2956.1667
6, 1907.6666, 6, 2188.1667
8, 3557.125, 8, 2371.25
9, 1518.4445, 9, 2680.889
10, 1720.4, 10, 2441.6
12, 8819.167, 12, 3728.9167
13, 6694.4614, 13, 2449.6155
16, 100178.25, 16, 135387.56
18, 1516.6666, 18, 4303.8335
21, 983.6667, 21, 1943.8096
24, 1069.8334, 24, 43221.918
27, 1170.5555, 27, 6684.185
32, 2497.9375, 32, 1756.75
36, 68019.945, 36, 56836.973
42, 424.5, 42, 1511.1904
48, 6297.604, 48, 8084.4375
55, 3345.5454, 55, 3293.2183
64, 436.35938, 64, 685.5469
73, 401.137, 73, 5017.2466
84, 378.7381, 84, 818.619
97, 340.36084, 97, 716.71136
111, 379.63065, 111, 635.7027
128, 531.41406, 128, 512.21094
147, 312.483, 147, 559.34015
168, 495.65475, 168, 3977.762
194, 1095.2526, 194, 592.37115
222, 340.47748, 222, 671.3333
256, 312.41406, 256, 487.8672
294, 326.60205, 294, 526.36053
337, 347.75668, 337, 488.32346
388, 1023.3685, 388, 7339.031
445, 262.09888, 445, 1876.6023
512, 288.0703, 512, 532.5703
588, 272.64795, 588, 796.22107
675, 226.40147, 675, 453.13333
776, 349.4214, 776, 480.53223
891, 152.64197, 891, 472.54095
1024, 101.87305, 1024, 138.09082
1176, 2512.4192, 1176, 1635.1692
1351, 100.64767, 1351, 157.6299
1552, 215.82861, 1552, 626.9897
1782, 149.93996, 1782, 299.30304
2048, 99.44287, 2048, 139.32666
2352, 126.957054, 2352, 136.11353
2702, 91.18431, 2702, 140.45189
3104, 5551.2983, 3104, 238.98582
3565, 103.123985, 3565, 139.51894
4096, 95.49097, 4096, 138.0935
4705, 1819.9388, 4705, 148.90564
5404, 96.305885, 5404, 1405.9303
6208, 121.84391, 6208, 1294.9333
7131, 98.622215, 7131, 203.69023
8192, 2813.9155, 8192, 13794.815
9410, 96.42997, 9410, 706.5046
10809, 4078.0234, 10809, 3460.6924
12416, 747.2482, 12416, 6220.671
14263, 171.78868, 14263, 1425.2589
16384, 27640.066, 16384, 22143.049
18820, 27922.408, 18820, 20799.377
21618, 9138.919, 21618, 6822.498
24833, 137.88983, 24833, 556.21484
28526, 1518.1133, 28526, 1619.2051
32768, 857.7932, 32768, 8839.136
37640, 61022.266, 37640, 5906.4517
43237, 2834.529, 43237, 9648.847
49667, 4263.4727, 49667, 13238.408
57052, 25422.783, 57052, 3557.6196
