Readers, AvgReadTime, Writers, AvgWriteTime
1, 85260.0, 1, 129812.0
1, 57967.0, 1, 75596.0
1, 70273.0, 1, 66721.0
1, 25963.0, 1, 77717.0
1, 29405.0, 1, 23966.0
2, 1931.5, 2, 2029.0
2, 1739.0, 2, 1375.0
2, 1533.5, 2, 2619.5
3, 1521.3334, 3, 1743.3334
3, 1461.3334, 3, 1615.6666
4, 856.25, 4, 999.75
4, 1106.75, 4, 999.0
5, 743.6, 5, 1183.2
6, 846.1667, 6, 1136.6666
6, 972.6667, 6, 1213.5
8, 876.125, 8, 1077.375
9, 783.44446, 9, 1123.5555
10, 907.2, 10, 1118.0
12, 810.3333, 12, 1161.5
13, 932.46155, 13, 908.0
16, 771.625, 16, 943.125
18, 1062.0555, 18, 1042.8334
21, 744.9048, 21, 1160.7142
24, 835.625, 24, 1009.9167
27, 755.2222, 27, 977.0741
32, 702.6875, 32, 958.5625
36, 1125.5834, 36, 1238.6945
42, 1051.2858, 42, 1136.262
48, 853.5208, 48, 1048.7291
55, 788.6909, 55, 902.2727
64, 672.5625, 64, 854.125
73, 531.3699, 73, 647.7534
84, 562.6071, 84, 598.4286
97, 507.26804, 97, 618.3917
111, 543.6126, 111, 563.95496
128, 532.9297, 128, 587.6172
147, 553.72107, 147, 565.11566
168, 481.95834, 168, 746.3095
194, 718.21136, 194, 1065.8969
222, 482.65765, 222, 576.0991
256, 488.35156, 256, 586.59375
294, 502.57144, 294, 556.67346
337, 463.26706, 337, 609.5668
388, 1072.8376, 388, 3052.5413
445, 455.8607, 445, 524.3371
512, 438.17578, 512, 538.0879
588, 454.08334, 588, 622.915
675, 441.81628, 675, 505.5822
776, 522.26935, 776, 504.97165
891, 440.19193, 891, 476.98764
1024, 481.4961, 1024, 530.56934
1176, 445.6131, 1176, 502.18536
1351, 512.5796, 1351, 490.24576
1552, 552.7783, 1552, 587.7616
1782, 526.2301, 1782, 583.0606
2048, 515.91504, 2048, 579.5117
2352, 473.67007, 2352, 479.7432
2702, 478.1347, 2702, 547.6614
3104, 451.30704, 3104, 513.6395
3565, 427.10492, 3565, 555.46173
4096, 455.98657, 4096, 506.52905
4705, 467.54388, 4705, 543.1273
5404, 465.3083, 5404, 484.19022
6208, 452.09036, 6208, 478.68573
7131, 560.1475, 7131, 612.8337
8192, 169.02063, 8192, 479.72205
9410, 172.98035, 9410, 458.29883
10809, 177.83495, 10809, 479.21973
12416, 156.16205, 12416, 171.91817
14263, 148.65393, 14263, 158.19035
16384, 164.17938, 16384, 166.81189
18820, 148.89447, 18820, 160.85223
21618, 165.11615, 21618, 172.86113
24833, 153.46945, 24833, 157.7283
28526, 164.44939, 28526, 171.20718
32768, 146.08878, 32768, 156.27106
37640, 158.68988, 37640, 168.68813
43237, 679.4552, 43237, 296.49622
49667, 177.1108, 49667, 177.53734
57052, 151.11221, 57052, 155.18422
